personnel_id,service_years,deployment_days,working_hours_week,night_shifts,consecutive_duty_days,leave_days,transfers_last_year,training_hours,workload_score,sleep_score,wellness_stress,mood_score,social_support,stress_risk,risk_week_1,risk_week_2,risk_week_3,risk_week_4,risk_week_5
P0001,3,36,51,6,7,13,3,17,61,63,55,60,63,0,32,24,31,34,29
P0002,20,65,43,9,1,11,1,6,48,47,47,63,77,1,35,41,32,18,18
P0003,17,0,51,10,8,5,0,10,50,71,72,72,77,0,32,39,35,30,39
P0004,11,2,43,10,6,1,2,10,69,84,73,65,56,1,35,32,40,28,42
P0005,11,16,40,6,8,9,0,8,79,73,59,86,45,1,37,38,40,48,47
P0006,22,73,52,12,6,0,2,0,65,20,75,69,57,1,27,36,44,49,56
P0007,3,45,51,7,5,11,1,7,90,81,48,74,78,1,34,33,33,26,27
P0008,18,56,55,9,4,6,2,22,45,82,62,46,82,0,35,26,16,9,0
P0009,6,11,70,7,6,14,1,9,25,63,68,83,73,0,24,29,29,22,29
P0010,3,11,52,7,4,0,0,11,71,83,68,59,87,0,40,36,50,44,45
P0011,14,49,54,3,7,11,0,13,44,77,66,51,96,0,31,33,32,28,31
P0012,25,39,40,9,1,7,1,28,53,58,61,94,59,0,28,31,32,20,29
P0013,19,51,38,17,4,6,0,12,26,87,87,79,92,1,36,37,43,52,61
P0014,20,33,64,5,10,2,1,20,42,49,37,84,63,1,36,27,43,33,45
P0015,18,45,42,6,3,9,2,8,31,67,45,75,84,0,36,32,34,36,29
P0016,20,42,41,4,4,10,0,10,50,66,44,67,79,0,40,43,33,27,25
P0017,13,57,50,4,3,14,1,12,51,56,41,64,33,0,41,34,23,21,5
P0018,4,57,49,12,6,11,0,7,60,73,8,80,51,1,51,49,51,55,55
P0019,21,0,42,3,3,5,3,11,80,88,75,86,46,0,44,41,39,43,45
P0020,12,0,47,4,5,3,2,18,70,87,27,67,37,0,28,25,18,10,7
P0021,13,62,61,0,7,2,2,6,29,79,51,100,82,0,26,25,31,36,33
P0022,10,67,43,3,3,13,0,12,69,43,20,65,100,0,30,29,33,33,32
P0023,5,14,37,0,7,4,1,17,60,48,60,46,63,0,37,37,27,39,26
P0024,24,0,58,9,7,13,0,6,56,70,32,40,82,0,29,33,23,23,22
P0025,20,40,54,17,8,9,0,20,58,67,25,41,92,1,35,33,42,37,39
P0026,17,60,44,5,5,8,1,13,62,61,52,61,71,1,26,35,31,28,26
P0027,11,81,36,0,13,6,0,11,46,97,34,64,67,1,42,29,30,29,19
P0028,21,50,43,10,8,10,0,0,55,70,37,79,63,1,33,16,37,28,22
P0029,14,29,50,3,6,7,0,9,79,76,51,68,76,1,34,37,31,38,30
P0030,12,17,60,11,3,6,1,15,45,83,64,81,82,0,27,35,36,40,48
P0031,12,38,41,5,5,10,0,24,39,69,32,69,75,0,36,44,36,38,39
P0032,6,31,49,3,9,6,1,16,57,100,28,68,74,0,35,37,32,25,34
P0033,3,14,56,5,9,4,0,20,38,54,48,59,66,0,27,29,37,26,23
P0034,14,87,30,9,9,9,2,4,27,59,59,91,40,0,33,38,43,48,58
P0035,23,81,59,5,7,7,2,11,52,54,77,43,82,1,36,30,27,41,36
P0036,2,65,39,4,2,9,2,21,84,91,27,73,45,1,42,42,48,52,48
P0037,22,16,53,5,6,5,1,6,57,80,42,65,78,0,41,42,48,53,49
P0038,21,59,52,1,2,2,2,19,61,60,72,81,80,1,40,28,38,39,30
P0039,7,53,60,8,1,14,0,17,20,55,87,68,48,0,29,26,30,30,31
P0040,16,49,55,0,6,13,2,14,66,89,28,68,57,0,33,28,23,19,24
P0041,5,68,30,4,6,11,0,10,60,73,33,64,100,0,27,17,19,10,10
P0042,19,53,43,9,7,5,1,5,46,89,56,90,66,1,31,29,41,32,43
P0043,18,56,51,7,6,6,1,24,61,67,36,68,46,0,42,41,44,41,43
P0044,9,53,48,8,6,13,0,16,61,76,33,100,81,0,39,38,39,34,43
P0045,2,46,54,6,3,6,1,14,39,73,53,72,54,0,37,43,46,53,58
P0046,25,0,57,11,5,4,2,9,64,59,79,68,34,1,38,25,33,29,23
P0047,12,40,55,10,1,14,1,12,80,66,22,66,76,0,31,29,16,6,3
P0048,23,25,48,8,1,7,1,13,54,50,78,77,51,1,29,24,24,26,22
P0049,17,7,33,10,7,14,2,15,42,75,37,59,72,0,32,24,22,13,8
P0050,20,78,46,9,3,1,1,17,55,79,55,70,53,1,32,27,32,35,35
P0051,19,79,54,4,7,9,1,7,73,83,80,68,79,1,34,40,34,24,30
P0052,5,71,40,1,8,15,1,2,36,78,55,73,70,0,36,44,50,55,61
P0053,10,44,56,8,3,7,0,13,68,66,42,74,23,1,42,41,49,51,47
P0054,12,70,58,8,6,6,3,0,46,91,62,74,73,0,37,31,23,29,27
P0055,13,38,51,10,3,2,0,10,62,81,45,70,62,0,24,23,16,11,13
P0056,2,43,30,2,1,11,1,8,48,89,58,93,91,0,36,37,41,47,49
P0057,14,12,38,2,5,4,0,15,48,90,44,75,74,1,24,34,33,42,49
P0058,4,48,67,8,4,7,2,26,85,66,65,100,80,1,37,27,19,5,0
P0059,19,39,45,6,4,2,0,0,33,74,20,69,55,0,45,40,42,45,44
P0060,18,7,32,0,10,13,1,28,67,80,28,83,54,0,39,30,22,5,6
P0061,24,37,61,8,1,12,0,10,89,51,20,56,67,0,24,24,23,23,17
P0062,19,36,50,0,6,7,0,14,70,51,47,90,61,0,32,25,40,49,41
